Date,City,Temperature,Humidity,Precipitation,WindSpeed
2024-01-01,Tokyo,8.5,65,0,12
2024-01-02,Tokyo,9.2,68,5,15
2024-01-03,Tokyo,7.8,70,10,18
2024-01-01,Osaka,10.2,60,0,10
2024-01-02,Osaka,11.5,63,0,12
2024-01-03,Osaka,9.8,65,8,14
2024-01-01,Nagoya,9.0,62,0,11
2024-01-02,Nagoya,10.3,64,3,13
2024-01-03,Nagoya,8.5,68,12,16
2024-01-01,Fukuoka,11.5,58,0,8
2024-01-02,Fukuoka,12.0,60,0,10
2024-01-03,Fukuoka,10.8,63,5,12
2024-01-01,Sapporo,2.5,75,20,20
2024-01-02,Sapporo,1.8,78,25,22
2024-01-03,Sapporo,0.5,80,30,25
